timestamp, audio inference
1364493510,0

1364493511,0

1364493512,1

1364493513,1

1364493514,1

1364493515,1

1364493516,0

1364493517,0

1364493518,2

1364493519,0

1364493520,0

1364493520,0

1364493521,0

1364493522,0

1364493523,0

1364493524,1

1364493525,0

1364493526,1

1364493527,1

1364493528,0

1364493529,0

1364493530,0

1364493531,0

1364493532,0

1364493533,0

1364493534,0

1364493535,0

1364493536,0

1364493537,0

1364493538,0

1364493539,0

1364493540,0

1364493541,0

1364493542,0

1364493543,0

1364493543,0

1364493545,0

1364493545,0

1364493546,0

1364493547,0

1364493548,0

1364493549,0

1364493550,0

1364493551,0

1364493552,0

1364493553,0

1364493554,0

1364493555,0

1364493556,0

1364493557,1

1364493558,0

1364493559,2

1364493560,2

1364493561,0

1364493562,1

1364493563,1

1364493564,0

1364493565,1

1364493566,1

1364493567,1

1364493568,1

1364493568,0

1364493750,0

1364493751,0

1364493752,0

1364493753,0

1364493754,0

1364493755,0

1364493756,0

1364493756,0

1364493757,0

1364493758,0

1364493759,0

1364493760,0

1364493761,0

1364493762,0

1364493763,0

1364493764,0

1364493765,0

1364493766,0

1364493767,0

1364493768,0

1364493769,0

1364493770,0

1364493771,0

1364493772,2

1364493773,2

1364493774,0

1364493775,0

1364493776,0

1364493777,0

1364493778,0

1364493779,0

1364493779,0

1364493780,0

1364493781,0

1364493782,0

1364493783,0

1364493784,0

1364493785,0

1364493786,0

1364493787,0

1364493788,0

1364493789,0

1364493790,0

1364493791,0

1364493792,0

1364493793,0

1364493794,0

1364493795,0

1364493796,0

1364493797,0

1364493798,0

1364493799,0

1364493800,0

1364493801,0

1364493802,0

1364493803,0

1364493804,0

1364493804,2

1364493805,2

1364493806,0

1364493807,1

1364493808,0

1364493990,0

1364493990,0

1364493992,0

1364493992,0

1364493993,0

1364493994,0

1364493995,0

1364493996,0

1364493997,0

1364493998,0

1364493999,0

1364494000,0

1364494001,0

1364494002,0

1364494003,0

1364494004,0

1364494005,0

1364494006,0

1364494007,0

1364494008,0

1364494009,0

1364494010,0

1364494011,0

1364494012,0

1364494013,0

1364494014,0

1364494015,0

1364494015,0

1364494016,0

1364494017,0

1364494018,0

1364494019,0

1364494020,0

1364494021,0

1364494022,0

1364494023,0

1364494024,0

1364494025,0

1364494026,0

1364494027,0

1364494028,0

1364494029,0

1364494030,0

1364494031,0

1364494032,0

1364494033,0

1364494034,0

1364494035,0

1364494036,0

1364494037,0

1364494038,0

1364494038,0

1364494040,0

1364494040,0

1364494041,0

1364494042,0

1364494043,0

1364494044,0

1364494045,0

1364494046,0

1364494047,0

1364494048,0

1364494049,0

1364494230,0

1364494231,0

1364494232,0

1364494233,0

1364494234,0

1364494235,0

1364494236,0

1364494237,0

1364494238,0

1364494239,0

1364494240,0

