time,MAC,class_id,level
1364519716,00:1E:C2:8F:C8:E1,3670276,-73
1364519716,00:1E:C2:94:6D:EE,3801348,-74
1364519716,00:1E:C2:95:92:57,3801348,-63
1364519716,00:1E:C2:98:1B:79,3801348,-84
1364519716,00:23:6C:A7:A4:B5,3670284,-71
1364519716,44:2A:60:D7:4D:E3,3670276,-84
1364519716,44:2A:60:D7:8A:E1,3670276,-93

1364530436,00:23:6C:A7:A4:B5,3670284,-87

1364531635,00:23:6C:A7:A4:B5,3670284,-93

1364532836,00:23:6C:A7:A4:B5,3670284,-93

1364534036,00:23:6C:A7:A4:B5,3670284,-91

1364535236,00:23:6C:A7:A4:B5,3670284,-88

1364558036,00:26:7E:54:A5:B9,3146760,-93

1364560435,00:23:6C:A7:A4:B5,3670284,-90

1364562835,00:23:6C:A7:A4:B5,3670284,-83

1364565236,00:1E:C2:8F:C8:E1,3670276,-86
1364565236,00:1E:C2:93:F5:EA,3801348,-95
1364565236,00:1E:C2:94:6D:EE,3801348,-71
1364565236,00:1E:C2:95:92:57,3801348,-100
1364565236,44:2A:60:D7:4D:E3,3670276,-88

1364566441,00:06:66:46:B6:55,7936,-94
1364566441,00:1E:C2:8F:C8:E1,3670276,-80
1364566441,00:1E:C2:94:6D:EE,3801348,-73
1364566441,00:1E:C2:95:92:57,3801348,-67

1364567635,00:1E:C2:8F:C8:E1,3670276,-81
1364567635,00:1E:C2:94:6D:EE,3801348,-71
1364567635,00:1E:C2:98:1B:79,3801348,-92
1364567635,64:B9:E8:DE:D9:B7,3801348,-94

1364568835,00:1E:C2:94:6D:EE,3801348,-75
1364568835,00:1E:C2:95:92:57,3801348,-70

1364570035,00:1E:C2:8F:C8:E1,3670276,-75
1364570035,00:1E:C2:94:6D:EE,3801348,-85
1364570035,00:1E:C2:95:92:57,3801348,-69

1364571241,00:1E:C2:8F:C8:E1,3670276,-82
1364571241,00:1E:C2:94:6D:EE,3801348,-82
1364571241,00:1E:C2:95:92:57,3801348,-70
1364571241,00:1E:C2:98:1B:79,3801348,-93
1364571241,04:0C:CE:E8:6E:75,3801348,-92
1364571241,44:2A:60:D7:4D:E3,3670276,-97
1364571241,E4:CE:8F:74:D4:50,3670276,-100

1364572446,00:1E:C2:8F:C8:E1,3670276,-81
1364572446,00:1E:C2:94:6D:EE,3801348,-75
1364572446,00:1E:C2:95:92:57,3801348,-100
1364572446,00:1E:C2:98:1B:79,3801348,-92
1364572446,04:0C:CE:E8:6E:75,3801348,-100
1364572446,64:B9:E8:DE:D9:B7,3801348,-93
1364572446,E4:CE:8F:74:D4:50,3670276,-100

1364573636,00:1E:C2:94:6D:EE,3801348,-74
1364573636,00:1E:C2:95:92:57,3801348,-73
1364573636,00:1E:C2:98:1B:79,3801348,-90
1364573636,E4:CE:8F:74:D4:50,3670276,-94

1364574836,00:1E:C2:8F:C8:E1,3670276,-81
1364574836,00:1E:C2:94:6D:EE,3801348,-71
1364574836,00:1E:C2:95:92:57,3801348,-77

1364576041,00:1E:C2:8F:C8:E1,3670276,-79
1364576041,00:1E:C2:94:6D:EE,3801348,-77
1364576041,00:1E:C2:95:92:57,3801348,-72
1364576041,40:A6:D9:FB:48:54,3801348,-95

1364577235,00:1E:C2:94:6D:EE,3801348,-75
1364577235,00:1E:C2:95:92:57,3801348,-70

1364578446,00:06:66:46:B6:55,7936,-96
1364578446,00:1E:C2:8F:C8:E1,3670276,-75
1364578446,00:1E:C2:94:6D:EE,3801348,-68
1364578446,00:1E:C2:95:92:57,3801348,-82
1364578446,00:1E:C2:98:1B:79,3801348,-86
1364578446,40:A6:D9:FB:48:54,3801348,-96
1364578446,44:2A:60:D7:4D:E3,3670276,-91
1364578446,B8:F6:B1:36:51:9C,3801348,-92
1364578446,F0:08:F1:58:A0:1B,5767692,-97

1364579646,00:17:F2:BA:19:9A,3670276,-99
1364579646,00:1E:C2:8F:C8:E1,3670276,-75
1364579646,00:1E:C2:94:6D:EE,3801348,-64
1364579646,00:1E:C2:95:92:57,3801348,-66
1364579646,00:1E:C2:98:1B:79,3801348,-91
1364579646,40:A6:D9:FB:47:70,3801348,-93
1364579646,44:2A:60:D7:4D:E3,3670276,-95
1364579646,64:B9:E8:DE:D9:B7,3801348,-91
1364579646,B8:F6:B1:36:51:9C,3801348,-98
1364579646,F0:08:F1:58:A0:1B,5767692,-95

1364580836,00:1E:C2:8F:C8:E1,3670276,-82
1364580836,00:1E:C2:94:6D:EE,3801348,-70
1364580836,00:1E:C2:98:1B:79,3801348,-88
1364580836,44:2A:60:D7:8A:E1,3670276,-96
1364580836,64:B9:E8:DE:D9:B7,3801348,-91
1364580836,B8:F6:B1:36:51:9C,3801348,-91
1364580836,F0:08:F1:58:A0:1B,5767692,-93

1364582046,00:17:F2:BA:19:9A,3670276,-95
1364582046,00:1E:C2:8F:C8:E1,3670276,-78
1364582046,00:1E:C2:94:6D:EE,3801348,-81
1364582046,00:1E:C2:95:92:57,3801348,-73
1364582046,00:1E:C2:98:1B:79,3801348,-90
1364582046,44:2A:60:D7:4D:E3,3670276,-97

1364583236,00:1E:C2:8F:C8:E1,3670276,-77
1364583236,00:1E:C2:94:6D:EE,3801348,-79
1364583236,00:1E:C2:95:92:57,3801348,-70
1364583236,00:1E:C2:98:1B:79,3801348,-85
1364583236,F0:08:F1:58:A0:1B,5767692,-95

1364584441,00:1E:C2:8F:C8:E1,3670276,-86
1364584441,00:1E:C2:94:6D:EE,3801348,-90
1364584441,00:1E:C2:95:92:57,3801348,-76
1364584441,00:1E:C2:98:1B:79,3801348,-87
1364584441,44:2A:60:D7:8A:E1,3670276,-93
1364584441,F0:08:F1:58:A0:1B,5767692,-95

1364585636,00:1E:C2:8F:C8:E1,3670276,-86
1364585636,00:1E:C2:94:6D:EE,3801348,-70
1364585636,00:1E:C2:95:92:57,3801348,-73
1364585636,00:1E:C2:98:1B:79,3801348,-86
1364585636,44:2A:60:D7:8A:E1,3670276,-92

1364586836,00:1E:C2:8F:C8:E1,3670276,-80
1364586836,00:1E:C2:94:6D:EE,3801348,-89
1364586836,64:B9:E8:DE:D9:B7,3801348,-99
1364586836,F0:08:F1:58:A0:1B,5767692,-96

1364588036,00:1E:C2:94:6D:EE,3801348,-62
1364588036,00:1E:C2:95:92:57,3801348,-54
1364588036,00:1E:C2:98:1B:79,3801348,-95

1364589236,00:1E:C2:8F:C8:E1,3670276,-81
1364589236,00:1E:C2:94:6D:EE,3801348,-66
1364589236,00:1E:C2:98:1B:79,3801348,-87
1364589236,44:2A:60:D7:4D:E3,3670276,-94
1364589236,64:B9:E8:DE:D9:B7,3801348,-92

1364590441,00:17:F2:BA:19:9A,3670276,-90
