time,MAC,class_id,level
1364357418,00:1E:C2:8F:C8:E1,3670276,-79
1364357418,00:1E:C2:94:6D:EE,3801348,-70
1364357418,00:1E:C2:95:92:57,3801348,-66
1364357418,00:1E:C2:98:1B:79,3801348,-89

1364358623,00:17:F2:BA:19:9A,3670276,-94
1364358623,00:1E:C2:8F:C8:E1,3670276,-79
1364358623,00:1E:C2:94:6D:EE,3801348,-70
1364358623,00:1E:C2:95:92:57,3801348,-72
1364358623,00:1E:C2:98:1B:79,3801348,-90

1364359817,00:1E:C2:8F:C8:E1,3670276,-78
1364359817,00:1E:C2:94:6D:EE,3801348,-66
1364359817,00:1E:C2:95:92:57,3801348,-70
1364359817,00:1E:C2:98:1B:79,3801348,-91
1364359817,E4:CE:8F:74:D4:50,3670276,-98

1364361017,00:1E:C2:8F:C8:E1,3670276,-84
1364361017,00:1E:C2:94:6D:EE,3801348,-72
1364361017,00:1E:C2:95:92:57,3801348,-66
1364361017,00:1E:C2:98:1B:79,3801348,-91
1364361017,44:2A:60:D7:4D:E3,3670276,-95

1364362217,00:1E:C2:8F:C8:E1,3670276,-74
1364362217,00:1E:C2:94:6D:EE,3801348,-67
1364362217,00:1E:C2:95:92:57,3801348,-66
1364362217,00:1E:C2:98:1B:79,3801348,-88
1364362217,E4:CE:8F:74:D4:50,3670276,-93

1364363423,00:1E:C2:8F:C8:E1,3670276,-81
1364363423,00:1E:C2:94:6D:EE,3801348,-66
1364363423,00:1E:C2:95:92:57,3801348,-75
1364363423,00:1E:C2:98:1B:79,3801348,-100
1364363423,64:B9:E8:DE:D9:B7,3801348,-96

1364364623,00:17:F2:BA:19:9A,3670276,-96
1364364623,00:1E:C2:94:6D:EE,3801348,-72
1364364623,00:1E:C2:95:92:57,3801348,-78
1364364623,64:B9:E8:DE:D9:B7,3801348,-94

1364365817,00:1E:C2:8F:C8:E1,3670276,-77
1364365817,00:1E:C2:94:6D:EE,3801348,-70
1364365817,00:1E:C2:95:92:57,3801348,-70
1364365817,00:1E:C2:98:1B:79,3801348,-93
1364365817,40:A6:D9:FB:48:54,3801348,-96

1364367017,00:1E:C2:8F:C8:E1,3670276,-76
1364367017,00:1E:C2:94:6D:EE,3801348,-69
1364367017,00:1E:C2:95:92:57,3801348,-76
1364367017,00:1E:C2:98:1B:79,3801348,-92
1364367017,64:B9:E8:DE:D9:B7,3801348,-94

1364368223,00:1E:C2:8F:C8:E1,3670276,-86
1364368223,00:1E:C2:94:6D:EE,3801348,-70
1364368223,00:1E:C2:95:92:57,3801348,-76
1364368223,00:1E:C2:98:1B:79,3801348,-86
1364368223,64:B9:E8:DE:D9:B7,3801348,-100

1364369428,00:17:F2:BA:19:9A,3670276,-95
1364369428,00:1E:C2:8F:C8:E1,3670276,-74
1364369428,00:1E:C2:94:6D:EE,3801348,-70
1364369428,00:1E:C2:95:92:57,3801348,-72
1364369428,44:2A:60:D7:4D:E3,3670276,-96

1364370617,00:1E:C2:8F:C8:E1,3670276,-76
1364370617,00:1E:C2:94:6D:EE,3801348,-71
1364370617,00:1E:C2:95:92:57,3801348,-70
1364370617,00:1E:C2:98:1B:79,3801348,-87
1364370617,40:A6:D9:FB:48:54,3801348,-88
1364370617,E4:CE:8F:74:D4:50,3670276,-98

1364371823,00:1E:C2:8F:C8:E1,3670276,-77
1364371823,00:1E:C2:94:6D:EE,3801348,-70
1364371823,00:1E:C2:95:92:57,3801348,-70
1364371823,00:1E:C2:98:1B:79,3801348,-100
1364371823,40:A6:D9:FB:48:54,3801348,-94

1364373028,00:1E:C2:8F:C8:E1,3670276,-78
1364373028,00:1E:C2:94:6D:EE,3801348,-72
1364373028,00:1E:C2:94:6F:73,3801348,-95
1364373028,00:1E:C2:95:92:57,3801348,-74
1364373028,00:1E:C2:98:1B:79,3801348,-87
1364373028,64:B9:E8:DE:D9:B7,3801348,-99
1364373028,E4:CE:8F:74:D4:50,3670276,-100

1364374218,00:1E:C2:8F:C8:E1,3670276,-75
1364374218,00:1E:C2:94:6D:EE,3801348,-68
1364374218,00:1E:C2:95:92:57,3801348,-70
1364374218,00:1E:C2:98:1B:79,3801348,-93

1364375418,00:1E:C2:8F:C8:E1,3670276,-82
1364375418,00:1E:C2:94:6D:EE,3801348,-70
1364375418,00:1E:C2:95:92:57,3801348,-72
1364375418,E4:CE:8F:74:D4:50,3670276,-95

1364376628,00:17:F2:BA:19:9A,3670276,-96
1364376628,00:1E:C2:8F:C8:E1,3670276,-79
1364376628,00:1E:C2:94:6D:EE,3801348,-70
1364376628,00:1E:C2:95:92:57,3801348,-74
1364376628,00:1E:C2:98:1B:79,3801348,-99
1364376628,D8:A2:5E:84:B9:28,3801348,-89

1364377818,00:1E:C2:8F:C8:E1,3670276,-75
1364377818,00:1E:C2:94:6D:EE,3801348,-71
1364377818,00:1E:C2:95:92:57,3801348,-66
1364377818,E4:CE:8F:74:D4:50,3670276,-94

1364379017,00:1E:C2:8F:C8:E1,3670276,-74
1364379017,00:1E:C2:94:6D:EE,3801348,-72
1364379017,00:1E:C2:95:92:57,3801348,-79
1364379017,00:1E:C2:98:1B:79,3801348,-89

1364380217,00:1E:C2:8F:C8:E1,3670276,-75
1364380217,00:1E:C2:94:6D:EE,3801348,-70
1364380217,00:1E:C2:95:92:57,3801348,-66
1364380217,00:1E:C2:98:1B:79,3801348,-94
1364380217,E4:CE:8F:74:D4:50,3670276,-95

1364381423,00:17:F2:BA:19:9A,3670276,-97
1364381423,00:1E:C2:8F:C8:E1,3670276,-82
1364381423,00:1E:C2:94:6D:EE,3801348,-74
1364381423,00:1E:C2:95:92:57,3801348,-70
1364381423,00:1E:C2:98:1B:79,3801348,-87
1364381423,64:B9:E8:DE:D9:B7,3801348,-95

1364382623,00:1E:C2:8F:C8:E1,3670276,-80
1364382623,00:1E:C2:94:6D:EE,3801348,-70
1364382623,00:1E:C2:95:92:57,3801348,-65
1364382623,00:1E:C2:98:1B:79,3801348,-100
1364382623,40:A6:D9:FB:48:54,3801348,-92
1364382623,E4:CE:8F:74:D4:50,3670276,-100

1364383818,00:1E:C2:8F:C8:E1,3670276,-77
1364383818,00:1E:C2:94:6D:EE,3801348,-70
1364383818,00:1E:C2:95:92:57,3801348,-76
1364383818,00:1E:C2:98:1B:79,3801348,-99
1364383818,E4:CE:8F:74:D4:50,3670276,-90

1364385023,00:17:F2:BA:19:9A,3670276,-96
1364385023,00:1E:C2:8F:C8:E1,3670276,-77
1364385023,00:1E:C2:94:6D:EE,3801348,-72
1364385023,00:1E:C2:95:92:57,3801348,-71
1364385023,64:B9:E8:DE:D9:B7,3801348,-93
1364385023,E4:CE:8F:74:D4:50,3670276,-96

1364386218,00:1E:C2:8F:C8:E1,3670276,-75
1364386218,00:1E:C2:94:6D:EE,3801348,-70
1364386218,00:1E:C2:94:6F:73,3801348,-89
1364386218,00:1E:C2:95:92:57,3801348,-64
1364386218,00:1E:C2:98:1B:79,3801348,-87
1364386218,04:0C:CE:E8:6E:75,3801348,-91
1364386218,64:B9:E8:DE:D9:B7,3801348,-95

1364387423,00:1E:C2:8F:C8:E1,3670276,-84
1364387423,00:1E:C2:94:6D:EE,3801348,-67
1364387423,00:1E:C2:95:92:57,3801348,-65
1364387423,00:1E:C2:98:1B:79,3801348,-92
1364387423,04:0C:CE:E8:6E:75,3801348,-91
1364387423,40:A6:D9:FB:47:70,3801348,-94
1364387423,40:A6:D9:FB:48:54,3801348,-100
1364387423,44:2A:60:D7:4D:E3,3670276,-95

1364388618,00:1E:C2:8F:C8:E1,3670276,-80
1364388618,00:1E:C2:94:6D:EE,3801348,-65
1364388618,00:1E:C2:95:92:57,3801348,-67
1364388618,44:2A:60:D7:4D:E3,3670276,-94

1364389819,00:1E:C2:8F:C8:E1,3670276,-77
1364389819,00:1E:C2:94:6D:EE,3801348,-72
1364389819,00:1E:C2:95:92:57,3801348,-67
1364389819,E4:CE:8F:74:D4:50,3670276,-95

1364391023,00:17:F2:BA:19:9A,3670276,-100
1364391023,00:1E:C2:8F:C8:E1,3670276,-80
1364391023,00:1E:C2:95:92:57,3801348,-69
1364391023,04:0C:CE:E8:6E:75,3801348,-93
1364391023,E4:CE:8F:74:D4:50,3670276,-93

1364392223,00:1E:C2:8F:C8:E1,3670276,-77
1364392223,00:1E:C2:94:6D:EE,3801348,-70
1364392223,00:1E:C2:95:92:57,3801348,-66
1364392223,00:1E:C2:98:1B:79,3801348,-92
1364392223,04:0C:CE:E8:6E:75,3801348,-98
1364392223,E4:CE:8F:74:D4:50,3670276,-91

1364393423,00:1E:C2:94:6D:EE,3801348,-70
1364393423,00:1E:C2:95:92:57,3801348,-72
1364393423,40:A6:D9:FB:47:70,3801348,-97

1364394623,00:1E:C2:8F:C8:E1,3670276,-83
1364394623,00:1E:C2:94:6D:EE,3801348,-70
1364394623,00:1E:C2:95:92:57,3801348,-72
1364394623,00:1E:C2:98:1B:79,3801348,-92
1364394623,E4:CE:8F:74:D4:50,3670276,-100

1364395821,00:1E:C2:8F:C8:E1,3670276,-75
1364395821,00:1E:C2:94:6D:EE,3801348,-69
1364395821,00:1E:C2:95:92:57,3801348,-64
1364395821,E4:CE:8F:74:D4:50,3670276,-100

1364397023,00:1E:C2:8F:C8:E1,3670276,-79
1364397023,00:1E:C2:94:6D:EE,3801348,-68
1364397023,00:1E:C2:95:92:57,3801348,-75
1364397023,E4:CE:8F:74:D4:50,3670276,-100

1364398218,00:1E:C2:8F:C8:E1,3670276,-74
1364398218,00:1E:C2:94:6D:EE,3801348,-68
1364398218,00:1E:C2:95:92:57,3801348,-63
1364398218,00:1E:C2:98:1B:79,3801348,-90

1364399418,00:1E:C2:8F:C8:E1,3670276,-78
1364399418,00:1E:C2:94:6D:EE,3801348,-66
1364399418,00:1E:C2:95:92:57,3801348,-75
1364399418,00:1E:C2:98:1B:79,3801348,-90
1364399418,04:0C:CE:E8:6E:75,3801348,-99
1364399418,40:A6:D9:FB:48:54,3801348,-91

1364400623,00:17:F2:BA:19:9A,3670276,-94
1364400623,00:1E:C2:8F:C8:E1,3670276,-75
